reference	hypA	hypB	annotation
pour pour lui pour nous et un moment très très agréable	pour euh pour lui pour nous et un moment très très agréable	poureuh pour lui pour nous et un moment très très agréable	0.5
pour pour lui pour nous et un moment très très agréable	poureuh pour lui pour nous et un moment très très agréable	pour euh pour lui pour nous et un moment très très agréable	0.5
elle me rappelle par certains à certains égards celle de ma campagne de deux mille sept	elle me rappelle par certains euh à certains égards celle de de la campagne de deux milles sept	elle ne rappelle par certains à certains égards celle de de a campagne de deux mille sept	1
elle me rappelle par certains à certains égards celle de ma campagne de deux mille sept	elle ne rappelle par certains à certains égards celle de de a campagne de deux mille sept	elle me rappelle par certains euh à certains égards celle de de la campagne de deux milles sept	0
serait elle atteinte faut il bel et bien un électrochoc pour relancer la compétitivité des entreprises françaises	serait-elle atteinte faut-il bel et bien un électrochoc pour relancer la compétitivité des entreprises françaises	serait-elle atteinte faut-il bel et bien un électro choc pour relancer la compétitivité des entreprises françaises	1
serait elle atteinte faut il bel et bien un électrochoc pour relancer la compétitivité des entreprises françaises	serait-elle atteinte faut-il bel et bien un électro choc pour relancer la compétitivité des entreprises françaises	serait-elle atteinte faut-il bel et bien un électrochoc pour relancer la compétitivité des entreprises françaises	0
je vous en prie le président vous attend	j'' ai vous en prix le président vous attend	puis vous en prix lu président vous attend	1
je vous en prie le président vous attend	puis vous en prix lu président vous attend	j'' ai vous en prix le président vous attend	0
a su résister à l' agressivité qui était celle régulièrement de nicolas sarkozy	euh a su euh résister à l' agressivité qui était celle régulièrement de nicolas sarkozy	euh a su euh résister à l' agressivité qui était celle régulièrement eu de nicolas sarkozy	1
a su résister à l' agressivité qui était celle régulièrement de nicolas sarkozy	euh a su euh résister à l' agressivité qui était celle régulièrement eu de nicolas sarkozy	euh a su euh résister à l' agressivité qui était celle régulièrement de nicolas sarkozy	0
tout même si y en avait sur les	tout mai mai si l y a e sur les	tout mois mas sine a e sor es entai	1
tout même si y en avait sur les	tout mois mas sine a e sor es entai	tout mai mai si l y a e sur les	0
et qui a vraiment révolutionné la télévision	qui a vraiment révolutionné la télévision	quase es mat re o es ionne la télévision	1
et qui a vraiment révolutionné la télévision	quase es mat re o es ionne la télévision	qui a vraiment révolutionné la télévision	0
il nous a semblé	assemblée	nous a semblé	0
il nous a semblé	nous a semblé	assemblée	1
prince et princesse de cire	ah c' est princesse de cir	race et princesse de sire	0
prince et princesse de cire	race et princesse de sire	ah c' est princesse de cir	1
un mur qui ressemble à une véritable liste noire futur tableau de chasse du syndicat de la magistrature	mur qui ressemble à une véritable liste noire futur tableau de chasse du syndicat de la magistrature	un mur qui ressemble à une véritable liste noire future tableau de chasse du syndicat de la magistrature	0
un mur qui ressemble à une véritable liste noire futur tableau de chasse du syndicat de la magistrature	un mur qui ressemble à une véritable liste noire future tableau de chasse du syndicat de la magistrature	mur qui ressemble à une véritable liste noire futur tableau de chasse du syndicat de la magistrature	1
cette demande a été formulée	cette euh demande a été formulée	cetteuh demande a été formulée	1
cette demande a été formulée	cetteuh demande a été formulée	cette euh demande a été formulée	0
johnny en mode bisous applaudi par la foule johnny en mode ray charles public attentif	johnny en mode bisou applauddi par la foule johnny en modchles public attentif	johnny en motde bisou applaudi par la foul jonyl en mode ra e charles public attentif	0
johnny en mode bisous applaudi par la foule johnny en mode ray charles public attentif	johnny en motde bisou applaudi par la foul jonyl en mode ra e charles public attentif	johnny en mode bisou applauddi par la foule johnny en modchles public attentif	1
et et conviction	et conviction	et eh et conviction	1
et et conviction	et eh et conviction	et conviction	0
crier aussi leur espérance	aussi leur espérance	cer aussi leur espérance	1
crier aussi leur espérance	cer aussi leur espérance	aussi leur espérance	0
effectivement à côté du jeu politique et donc il est et c' est de la situation idéale	effectivement à côté du jeu politique et donc euh il est et c' est de la protitu idéale	effectivement à côté du jeu politique et donc euh il est c' est de la pro situation idéale	0
effectivement à côté du jeu politique et donc il est et c' est de la situation idéale	effectivement à côté du jeu politique et donc euh il est c' est de la pro situation idéale	effectivement à côté du jeu politique et donc euh il est et c' est de la protitu idéale	1
box office ko	boxophioscao	voque sophio chaos	1
box office ko	voque sophio chaos	boxophioscao	0
ça a bugué	ça un veut g bien	ça u veut guait	0
ça a bugué	ça u veut guait	ça un veut g bien	1
il est pas encore tombé il il vacille il vacille mais il est pas encore sur le point de tomber	est pas encore tombé voici bercy mais	il est pas encore tombé il est il vacille euh il vacil mais il est pas encore venu tombé	0
il est pas encore tombé il il vacille il vacille mais il est pas encore sur le point de tomber	il est pas encore tombé il est il vacille euh il vacil mais il est pas encore venu tombé	est pas encore tombé voici bercy mais	1
ça elle l' a dit	ça elle l' a dit euh	l' a dit euh	1
ça elle l' a dit	l' a dit euh	ça elle l' a dit euh	0
françois hollande est en tête au premier tour à trente pour cent et gagne	hollande est en tête au premier tour à trente pour cent et gagne	françois hollande est en tête au premier tour à trente pourcent et gagne	0
françois hollande est en tête au premier tour à trente pour cent et gagne	françois hollande est en tête au premier tour à trente pourcent et gagne	hollande est en tête au premier tour à trente pour cent et gagne	1
zéro quatre pour cent d' ondam supplémentaire	zéro quatre pour cent sondame supplémentair	zéro quatre pourcent d' ondâmes supplémentaires	0
zéro quatre pour cent d' ondam supplémentaire	zéro quatre pourcent d' ondâmes supplémentaires	zéro quatre pour cent sondame supplémentair	1
et pourtant ben affleck souffre le martyre	et pourtant bel a flet souffre le martyr	et pourtant beln a flex souffre le martyr	0
et pourtant ben affleck souffre le martyre	et pourtant beln a flex souffre le martyr	et pourtant bel a flet souffre le martyr	1
tout l' olympia pour lui il était à son apogée réservoir prod était vraiment la boîte de tous les succès	l' olympia pour lui était à son apogée réservoirs prend d' été la boîte de tous les succès	tout l' olympia pour lui il était à son apoggé réservoir pro d' était vraiment la boîite de tous les succès	0
tout l' olympia pour lui il était à son apogée réservoir prod était vraiment la boîte de tous les succès	tout l' olympia pour lui il était à son apoggé réservoir pro d' était vraiment la boîite de tous les succès	l' olympia pour lui était à son apogée réservoirs prend d' été la boîte de tous les succès	1
nous on parle aux français on parle aux électeurs on parle au coeur du peuple militant et justement	on parle aux français par zola je parle aux électeurs on parle au coeur du peuple militant et justement	nous on parle aux français on parle au on on parle aux électeurs on parle au coeur du peuple militant et justement	0
nous on parle aux français on parle aux électeurs on parle au coeur du peuple militant et justement	nous on parle aux français on parle au on on parle aux électeurs on parle au coeur du peuple militant et justement	on parle aux français par zola je parle aux électeurs on parle au coeur du peuple militant et justement	1
mais pour être sur la ligne de départ une condition obligatoire sept mille neuf cent vingt quatre parrainages	mais pour être sur la ligne de départ condition obligatoire sept mille neuf cents vingt quatre parrainages	mais pour être sur la ligne de départ une condition obligatoire sept milles neuf cents vingt quatre parrainage	0
mais pour être sur la ligne de départ une condition obligatoire sept mille neuf cent vingt quatre parrainages	mais pour être sur la ligne de départ une condition obligatoire sept milles neuf cents vingt quatre parrainage	mais pour être sur la ligne de départ condition obligatoire sept mille neuf cents vingt quatre parrainages	1
alors justement nous nous voilà entrés dans la la période ultra dense de la campagne	alors justement donc nous allons entrer dans la la période euh ultradancee de la campagne	alors justement donc nous vallens entrer dans la la période euh ultradance de la campagne	1
alors justement nous nous voilà entrés dans la la période ultra dense de la campagne	alors justement donc nous vallens entrer dans la la période euh ultradance de la campagne	alors justement donc nous allons entrer dans la la période euh ultradancee de la campagne	0
à mis un temps fou à se constituer	euh a mis un temps fou à se constituer	euh a mis un tarp e fond à sé ronstitué	1
